tok_s,wall_ms,npu_ms,dispatches,stage_out_ms,epi_thread_ms,arena_mib,rep,prompt,ub,threads,mode
537.05,3813.4251931849926,744.6666666666666,642.0,282.3666666666667,627.6,0.0,4,2048,2048,4,gacc
583.29,3511.117968763394,727.4666666666667,642.0,0.0,680.8666666666667,60.0,4,2048,2048,4,direct
497.96,4112.780142983373,0.0,0.0,0.0,0.0,0.0,4,2048,2048,6,cpu
635.94,3220.429600276755,370.76666666666665,321.0,147.56666666666666,438.09999999999997,0.0,4,2048,2048,6,gacc
726.7,2818.219347736342,723.3666666666667,642.0,0.0,995.6,60.0,4,2048,2048,6,direct
631.47,3243.226123172914,0.0,0.0,0.0,0.0,0.0,4,2048,2048,8,cpu
831.89,2461.863948358557,373.4666666666667,321.0,151.56666666666666,554.5333333333333,0.0,4,2048,2048,8,gacc
831.48,2463.077885216722,724.9666666666667,642.0,0.0,1304.7,60.0,4,2048,2048,8,direct
1008.22,2031.3026918728053,0.0,0.0,0.0,0.0,0.0,4,2048,2048,15,cpu
1229.63,1665.541667005522,404.1666666666667,321.0,164.13333333333333,638.1,0.0,4,2048,2048,15,gacc
1274.12,1607.383919881958,401.3666666666666,321.0,0.0,706.6333333333333,30.0,4,2048,2048,15,direct
278.99,14222.731997562636,0.0,0.0,0.0,0.0,0.0,4,3968,2048,4,cpu
364.84,10876.000438548406,1108.3,963.0,428.2,938.8666666666667,0.0,4,3968,2048,4,gacc
375.02,10580.769025651965,1098.3999999999999,963.0,0.0,1030.8333333333333,60.0,4,3968,2048,4,direct
410.32,9670.50107233379,0.0,0.0,0.0,0.0,0.0,4,3968,2048,6,cpu
509.94,7781.307604816253,741.6,642.0,295.1333333333333,881.3333333333334,0.0,4,3968,2048,6,gacc
536.48,7396.361467342678,1092.3,963.0,0.0,1515.3,60.0,4,3968,2048,6,direct
512.62,7740.626584994732,0.0,0.0,0.0,0.0,0.0,4,3968,2048,8,cpu
643.88,6162.639001056098,747.4333333333334,642.0,295.6333333333333,1109.0,0.0,4,3968,2048,8,gacc
642.84,6172.609047352373,1094.8,963.0,0.0,1972.9333333333334,60.0,4,3968,2048,8,direct
837.65,4737.062018742912,0.0,0.0,0.0,0.0,0.0,4,3968,2048,15,cpu
947.69,4187.023182686321,807.8333333333334,642.0,342.73333333333335,1209.0333333333333,0.0,4,3968,2048,15,gacc
1006.59,3942.022074528855,809.1,642.0,0.0,1430.4666666666665,30.0,4,3968,2048,15,direct
346.12,5917.02299780423,0.0,0.0,0.0,0.0,0.0,5,2048,2048,4,cpu
539.56,3795.6853732671066,726.1999999999999,642.0,282.46666666666664,620.8333333333334,0.0,5,2048,2048,4,gacc
580.46,3528.236226441098,720.3666666666667,642.0,0.0,674.8333333333334,60.0,5,2048,2048,4,direct
498.46,4108.654656341532,0.0,0.0,0.0,0.0,0.0,5,2048,2048,6,cpu
633.99,3230.33486332592,373.0,321.0,148.29999999999998,436.1666666666667,0.0,5,2048,2048,6,gacc
729.62,2806.94059921603,719.4333333333334,642.0,0.0,996.4333333333334,60.0,5,2048,2048,6,direct
641.29,3193.562974629263,0.0,0.0,0.0,0.0,0.0,5,2048,2048,8,cpu
827.32,2475.46294057922,373.6333333333334,321.0,147.83333333333334,549.7333333333333,0.0,5,2048,2048,8,gacc
837.81,2444.468316205345,729.7333333333332,642.0,0.0,1310.2666666666667,60.0,5,2048,2048,8,direct
1013.8,2020.1223120931152,0.0,0.0,0.0,0.0,0.0,5,2048,2048,15,cpu
1211.75,1690.117598514545,405.06666666666666,321.0,166.63333333333333,622.8000000000001,0.0,5,2048,2048,15,gacc
1256.71,1629.6520279141569,399.9666666666667,321.0,0.0,707.5,30.0,5,2048,2048,15,direct
279.42,14200.844606685276,0.0,0.0,0.0,0.0,0.0,5,3968,2048,4,cpu
364.05,10899.601703062766,1115.3666666666666,963.0,428.0333333333333,939.4,0.0,5,3968,2048,4,gacc
375.66,10562.74290581909,1100.3999999999999,963.0,0.0,1033.6666666666667,60.0,5,3968,2048,4,direct
410.54,9665.31884834608,0.0,0.0,0.0,0.0,0.0,5,3968,2048,6,cpu
507.43,7819.797804623298,738.0666666666666,642.0,297.46666666666664,881.6666666666666,0.0,5,3968,2048,6,gacc
536.26,7399.395815462649,1077.4333333333334,963.0,0.0,1507.6333333333332,60.0,5,3968,2048,6,direct
512.02,7749.6972774501,0.0,0.0,0.0,0.0,0.0,5,3968,2048,8,cpu
642.02,6180.492819538333,747.3666666666667,642.0,297.7,1103.9666666666667,0.0,5,3968,2048,8,gacc
648.94,6114.586864733256,1082.8666666666666,963.0,0.0,1965.0333333333335,60.0,5,3968,2048,8,direct
832.85,4764.363330731824,0.0,0.0,0.0,0.0,0.0,5,3968,2048,15,cpu
967.24,4102.394441917208,811.9,642.0,331.23333333333335,1256.8333333333333,0.0,5,3968,2048,15,gacc
1005.89,3944.7653321933813,807.6,642.0,0.0,1440.8,30.0,5,3968,2048,15,direct
