tok_s,wall_ms,dispatches,npu_ms,stage_in_ms,stage_out_ms,stage_out_gb,epi_thread_ms,sync_in_ms,sync_out_ms,arena_mib,rep,cell,prompt,ub,threads,tiles,variant,direct,async_on
968.67,4096.338278257818,642.0,806.3000000000001,63.93333333333334,339.0,4.543333333333334,1236.8999999999999,22.666666666666668,81.0,0.0,1,pp3968 ub2048 t15,3968,2048,15,auto,A sync+g_acc,0,0
1001.55,3961.859118366532,642.0,817.9666666666667,64.03333333333333,356.40000000000003,4.543333333333334,1301.3333333333333,22.333333333333332,74.66666666666667,0.0,1,pp3968 ub2048 t15,3968,2048,15,auto,B async+g_acc,0,1
1026.52,3865.4872774032656,642.0,808.2333333333332,62.46666666666667,0.0,0.0,1437.3999999999999,22.666666666666668,74.66666666666667,30.0,1,pp3968 ub2048 t15,3968,2048,15,auto,C sync+direct,1,0
1022.85,3879.3566994182916,642.0,803.9333333333334,63.333333333333336,0.0,0.0,1439.8999999999999,22.333333333333332,74.0,30.0,1,pp3968 ub2048 t15,3968,2048,15,auto,D async+direct,1,1
932.27,2196.788484022869,642.0,746.4666666666667,56.86666666666667,326.43333333333334,4.543333333333334,1142.0333333333333,21.0,76.33333333333333,0.0,1,pp2048 ub1024 t15,2048,1024,15,auto,A sync+g_acc,0,0
1013.19,2021.3385445967685,642.0,747.7666666666668,56.36666666666667,331.0,4.543333333333334,1139.5333333333333,20.666666666666668,66.33333333333333,0.0,1,pp2048 ub1024 t15,2048,1024,15,auto,B async+g_acc,0,1
1078.06,1899.708736062928,642.0,739.5333333333333,59.199999999999996,0.0,0.0,1319.2333333333333,20.333333333333332,68.33333333333333,30.0,1,pp2048 ub1024 t15,2048,1024,15,auto,C sync+direct,1,0
1081.85,1893.0535656514307,642.0,738.6666666666666,58.53333333333333,0.0,0.0,1325.5333333333333,20.333333333333332,69.0,30.0,1,pp2048 ub1024 t15,2048,1024,15,auto,D async+direct,1,1
1215.6,1684.7647252385655,321.0,401.06666666666666,32.1,167.6,2.27,623.4,11.0,40.333333333333336,0.0,2,pp2048 ub2048 t15,2048,2048,15,auto,A sync+g_acc,0,0
1232.34,1661.8790268919292,321.0,404.8666666666666,32.46666666666667,175.73333333333335,2.27,611.6666666666666,11.0,35.333333333333336,0.0,2,pp2048 ub2048 t15,2048,2048,15,auto,B async+g_acc,0,1
1261.05,1624.0434558502836,321.0,401.5,31.633333333333336,0.0,0.0,714.0666666666666,11.0,36.0,30.0,2,pp2048 ub2048 t15,2048,2048,15,auto,C sync+direct,1,0
1263.62,1620.7404124657733,321.0,399.8,31.900000000000002,0.0,0.0,712.4,11.333333333333334,36.0,30.0,2,pp2048 ub2048 t15,2048,2048,15,auto,D async+direct,1,1
827.07,2476.21120340479,321.0,377.23333333333335,33.1,151.23333333333332,2.27,554.6,9.666666666666666,35.666666666666664,0.0,2,pp2048 ub2048 t8,2048,2048,8,auto,A sync+g_acc,0,0
828.3,2472.5341060002415,321.0,376.76666666666665,32.333333333333336,156.03333333333333,2.27,556.1666666666666,10.0,31.666666666666668,0.0,2,pp2048 ub2048 t8,2048,2048,8,auto,B async+g_acc,0,1
828.16,2472.952086553323,321.0,370.56666666666666,32.266666666666666,0.0,0.0,649.8333333333334,10.0,31.333333333333332,30.0,2,pp2048 ub2048 t8,2048,2048,8,auto,C sync+direct,1,0
819.71,2498.44457186078,321.0,370.0333333333333,32.0,0.0,0.0,651.9,10.0,31.333333333333332,30.0,2,pp2048 ub2048 t8,2048,2048,8,auto,D async+direct,1,1
540.99,3785.652230170613,642.0,732.5333333333333,57.46666666666667,280.8666666666667,4.543333333333334,628.8333333333334,18.666666666666668,73.66666666666667,0.0,2,pp2048 ub2048 t4,2048,2048,4,auto,A sync+g_acc,0,0
560.65,3652.9028805850353,642.0,749.6,59.13333333333333,296.0,4.543333333333334,629.7333333333333,18.333333333333332,66.33333333333333,0.0,2,pp2048 ub2048 t4,2048,2048,4,auto,B async+g_acc,0,1
584.02,3506.729221602,642.0,729.0666666666666,53.93333333333334,0.0,0.0,682.4666666666667,18.666666666666668,61.0,60.0,2,pp2048 ub2048 t4,2048,2048,4,auto,C sync+direct,1,0
586.26,3493.330604168799,642.0,727.3000000000001,54.333333333333336,0.0,0.0,685.5,18.333333333333332,60.666666666666664,60.0,2,pp2048 ub2048 t4,2048,2048,4,auto,D async+direct,1,1
931.58,2198.4155950106274,642.0,741.1333333333333,54.86666666666667,308.5,4.543333333333334,1204.6333333333334,20.0,78.33333333333333,0.0,2,pp2048 allNPU t15,2048,2048,15,2,A sync+g_acc,0,0
1000.2,2047.5904819036193,642.0,740.9333333333334,54.800000000000004,318.93333333333334,4.543333333333334,1217.9333333333334,19.666666666666668,68.33333333333333,0.0,2,pp2048 allNPU t15,2048,2048,15,2,B async+g_acc,0,1
1082.07,1892.6686813237593,642.0,726.0666666666666,52.666666666666664,0.0,0.0,1306.4666666666667,20.0,63.333333333333336,60.0,2,pp2048 allNPU t15,2048,2048,15,2,C sync+direct,1,0
