wall_ns,acquisitions,immediate,waited,wait_ns,hold_ns,wait_max_ns,hold_max_ns,waiters_now,waiters_max
1788210746763696503,2912,2912,0,0,21454360792,0,170221111,0,0
1788210747864207453,2944,2944,0,0,21673355741,0,170221111,0,0
1788210748359204652,2976,2976,0,0,21900436794,0,170221111,0,0
1788210748871901099,3008,3008,0,0,22122143754,0,170221111,0,0
1788210749356970883,3040,3040,0,0,22345252604,0,170221111,0,0
1788210749861977930,3072,3072,0,0,22558254716,0,170221111,0,0
1788210750962051984,3104,3104,0,0,22780229977,0,170221111,0,0
1788210751451771400,3136,3136,0,0,23005395249,0,170221111,0,0
1788210751937777889,3168,3168,0,0,23224393374,0,170221111,0,0
1788210752476818896,3200,3200,0,0,23453524358,0,170221111,0,0
1788210752964158719,3232,3232,0,0,23676475779,0,170221111,0,0
1788210754073084821,3264,3264,0,0,23892470718,0,170221111,0,0
1788210754587267480,3296,3296,0,0,24110768220,0,170221111,0,0
1788210755082324147,3328,3328,0,0,24342250552,0,170221111,0,0
1788210755589574319,3360,3360,0,0,24575453224,0,170221111,0,0
1788210756693418242,3392,3392,0,0,24789828332,0,170221111,0,0
1788210757210102173,3424,3424,0,0,25011757361,0,170221111,0,0
1788210757696663510,3456,3456,0,0,25236182598,0,170221111,0,0
1788210758198977198,3488,3488,0,0,25449313334,0,170221111,0,0
1788210758691943758,3520,3520,0,0,25673483903,0,170221111,0,0
1788210759787984648,3552,3552,0,0,25889435779,0,170221111,0,0
1788210760284484352,3584,3584,0,0,26114573458,0,170221111,0,0
1788210760794249123,3616,3616,0,0,26333083105,0,170221111,0,0
1788210761288840748,3648,3648,0,0,26557552224,0,170221111,0,0
1788210762379320950,3680,3680,0,0,26776217482,0,170221111,0,0
1788210762899450043,3712,3712,0,0,27001959391,0,170221111,0,0
1788210763387051268,3744,3744,0,0,27229058542,0,170221111,0,0
1788210763882630268,3776,3776,0,0,27457210476,0,170221111,0,0
1788210764391396131,3808,3808,0,0,27676337030,0,170221111,0,0
1788210765495650929,3840,3840,0,0,27901450995,0,170221111,0,0
1788210765990742874,3872,3872,0,0,28131429813,0,170221111,0,0
1788210766497323354,3904,3904,0,0,28343127783,0,170221111,0,0
1788210766982232473,3936,3936,0,0,28570237827,0,170221111,0,0
1788210767460785826,3968,3968,0,0,28787925987,0,170221111,0,0
1788210768570740274,4000,4000,0,0,29010576004,0,170221111,0,0
1788210769094900687,4032,4032,0,0,29240433020,0,170221111,0,0
1788210769587767281,4064,4064,0,0,29463452245,0,170221111,0,0
1788210770095213599,4096,4096,0,0,29676743593,0,170221111,0,0
1788210771176739973,4128,4128,0,0,29889785875,0,170221111,0,0
1788210771656589456,4160,4160,0,0,30113654437,0,170221111,0,0
1788210772143010247,4192,4192,0,0,30333122125,0,170221111,0,0
1788210772659526249,4224,4224,0,0,30557849356,0,170221111,0,0
1788210773152999442,4256,4256,0,0,30785406134,0,170221111,0,0
1788210774257762546,4288,4288,0,0,31009096204,0,170221111,0,0
1788210774766064380,4320,4320,0,0,31222677382,0,170221111,0,0
1788210775270451131,4352,4352,0,0,31459504061,0,170221111,0,0
1788210775763013308,4384,4384,0,0,31684224390,0,170221111,0,0
1788210776879235550,4416,4416,0,0,31915219697,0,170221111,0,0
1788210777394391166,4448,4448,0,0,32133888565,0,170221111,0,0
1788210777886022710,4480,4480,0,0,32359101566,0,170221111,0,0
1788210778410530334,4512,4512,0,0,32578748380,0,170221111,0,0
1788210778894088896,4544,4544,0,0,32803691073,0,170221111,0,0
1788210779985065140,4576,4576,0,0,33019621283,0,170221111,0,0
1788210780463685634,4608,4608,0,0,33237028619,0,170221111,0,0
1788210780983431216,4640,4640,0,0,33461746217,0,170221111,0,0
1788210781470604181,4672,4672,0,0,33684683589,0,170221111,0,0
1788210781973799998,4704,4704,0,0,33896922339,0,170221111,0,0
1788210783066331901,4736,4736,0,0,34115679621,0,170221111,0,0
1788210783558227793,4768,4768,0,0,34344003246,0,170221111,0,0
1788210784051643363,4800,4800,0,0,34572262053,0,170221111,0,0
1788210784581190634,4832,4832,0,0,34798876454,0,170221111,0,0
1788210785692001851,4864,4864,0,0,35014818139,0,170221111,0,0
1788210786185085049,4896,4896,0,0,35239216823,0,170221111,0,0
1788210786686059162,4928,4928,0,0,35451511301,0,170221111,0,0
1788210787172586412,4960,4960,0,0,35676433906,0,170221111,0,0
1788210787663974518,4992,4992,0,0,35901749278,0,170221111,0,0
1788210788875764825,5024,5024,0,0,36121387115,0,170221111,0,0
1788210789384770689,5056,5056,0,0,36340950677,0,170221111,0,0
1788210789883059048,5088,5088,0,0,36570936186,0,170221111,0,0
1788210790401720265,5120,5120,0,0,36789431412,0,170221111,0,0
1788210791506110147,5152,5152,0,0,37021112603,0,170221111,0,0
1788210791994557280,5184,5184,0,0,37244772824,0,170221111,0,0
1788210792473452342,5216,5216,0,0,37462585137,0,170221111,0,0
1788210792981287071,5248,5248,0,0,37680713767,0,170221111,0,0
1788210793465954546,5280,5280,0,0,37904008472,0,170221111,0,0
1788210794569934455,5312,5312,0,0,38125514561,0,170221111,0,0
1788210795093875388,5344,5344,0,0,38344310899,0,170221111,0,0
1788210795580678279,5376,5376,0,0,38569933897,0,170221111,0,0
1788210796070682332,5408,5408,0,0,38793624320,0,170221111,0,0
1788210796627532963,5440,5440,0,0,39008486195,0,170221111,0,0
1788210797156633358,5472,5472,0,0,39239493885,0,170221111,0,0
1788210797643827866,5504,5504,0,0,39464626618,0,170221111,0,0
1788210798147386644,5536,5536,0,0,39678368928,0,170221111,0,0
1788210798640426809,5568,5568,0,0,39905887270,0,170221111,0,0
1788210800274603621,5600,5600,0,0,40118990343,0,170221111,0,0
1788210800757799473,5632,5632,0,0,40339183167,0,170221111,0,0
1788210801320486742,5664,5664,0,0,40590881056,0,170221111,0,0
1788210801805318830,5696,5696,0,0,40814699012,0,170221111,0,0
1788210802318509675,5728,5728,0,0,41034313895,0,170221111,0,0
1788210803003179376,5760,5760,0,0,41241119935,0,170221111,0,0
1788210803465729466,5792,5792,0,0,41445176054,0,170221111,0,0
1788210803935671682,5824,5824,0,0,41650910756,0,170221111,0,0
1788210804422320320,5856,5856,0,0,41849076158,0,170221111,0,0
1788210806020249134,5888,5888,0,0,42050213052,0,170221111,0,0
1788210806510258098,5920,5920,0,0,42273348421,0,170221111,0,0
