regime,turn,supplied_n,reused_n,eval_n,prompt_ms,ttft_ms,total_ms,rebased,state_version
C rebase/25,1,2094,2084,10,56.82,71.38,117.21,0,3ca1c5354eb5bc6a
C rebase/25,2,2112,2084,28,126.6,140.14,183.81,0,bb9e6e46708f447f
C rebase/25,3,2130,2102,28,123.37,138.22,185.82,0,d62468582b4660ad
C rebase/25,4,2148,2120,28,124.05,137.34,180.27,0,b3f661ce875dff79
C rebase/25,5,2166,2138,28,124.56,137.55,179.67,0,bd799904ac242ad0
C rebase/25,6,2184,2156,28,125.83,140.41,187.27,0,fda6254b68c3f34d
C rebase/25,7,2202,2174,28,122.48,136.08,180.03,0,0f03a5dde1ce7ed7
C rebase/25,8,2220,2192,28,127.18,140.33,183.05,0,a4162b450cc32271
C rebase/25,9,2238,2210,28,136.72,151.08,197.29,0,78542f722a2c9fe1
C rebase/25,10,2256,2228,28,130.51,144.4,189.21,0,bb42ab0d040ea6c7
C rebase/25,11,2274,2246,28,127.06,140.34,183.42,0,2389e7e0a5e71544
C rebase/25,12,2292,2264,28,133.97,147.85,192.71,0,b41c1bf51da07ca2
C rebase/25,13,2310,2282,28,126.52,140.65,186.26,0,2dd1e09eaa12ab16
C rebase/25,14,2328,2300,28,131.75,145.21,188.77,0,6e6a8810eb1db8a1
C rebase/25,15,2346,2318,28,133.95,148.88,196.99,0,8ed461298d3b7b86
C rebase/25,16,2364,2336,28,140.9,155.2,201.25,0,b4eed09180a68082
C rebase/25,17,2382,2354,28,130.64,144.29,188.54,0,90624bb04b821f95
C rebase/25,18,2400,2372,28,135.2,149.69,196.39,0,6060d0ac50d9fac3
C rebase/25,19,2418,2390,28,131.31,148.34,202.69,0,42dcdb86f0ec5527
C rebase/25,20,2436,2408,28,138.24,152.59,198.84,0,7d8bc6925a3bc1c5
C rebase/25,21,2454,2426,28,140.18,154.07,198.97,0,872ed1557e3a1f01
C rebase/25,22,2472,2444,28,142.14,155.99,200.77,0,955664455b819cef
C rebase/25,23,2490,2462,28,143.88,157.47,201.65,0,e6c504b3a1eddb93
C rebase/25,24,2508,2480,28,140.81,154.36,198.3,0,1709f025e6da0654
C rebase/25,25,2526,2516,10,69.01,83.57,130.49,1,6bd2eddc8e8f466d
C rebase/25,26,2544,2516,28,158.36,174.06,224.37,0,8c94227a626cd7f1
C rebase/25,27,,,,,,3.34,0,0cb1ccb9e92b2797
C rebase/25,28,,,,,,2.06,0,902556e755b4e595
C rebase/25,29,,,,,,1.88,0,de5b74b722e6bdd5
C rebase/25,30,,,,,,1.79,0,1b45266ab9c188d3
C rebase/25,31,,,,,,1.75,0,b3d016e7cc7998c0
C rebase/25,32,,,,,,1.71,0,c9cab98251c013a9
C rebase/25,33,,,,,,1.71,0,008b4fdfa3b00b50
C rebase/25,34,,,,,,1.71,0,6ab9c8d0c7675eb2
C rebase/25,35,,,,,,3.21,0,6e0bb6a0ca9ea2e3
C rebase/25,36,,,,,,2.57,0,e0462d75b805b06b
C rebase/25,37,,,,,,2.96,0,cf10f34500b990da
C rebase/25,38,,,,,,2.89,0,df3b3945c2a239f2
C rebase/25,39,,,,,,2.2,0,c233e49623e7d782
C rebase/25,40,,,,,,2.69,0,e5221e0ba03eb0ec
C rebase/25,41,,,,,,1.91,0,41bee671093c4cdc
C rebase/25,42,,,,,,1.79,0,564a514eb7b9b11a
C rebase/25,43,,,,,,2.62,0,623d143f07e10fc1
C rebase/25,44,,,,,,2.68,0,951fae24d030b0fb
C rebase/25,45,,,,,,1.81,0,8991ffd826bf9448
C rebase/25,46,,,,,,1.8,0,2e4113df06adff3c
C rebase/25,47,,,,,,2.68,0,0fd83775fb83fbfa
C rebase/25,48,,,,,,2.01,0,fa472b33ba2a2ff3
C rebase/25,49,,,,,,1.85,0,4c19b19a3c8e4b65
C rebase/25,50,,,,,,1.81,1,0898e6464cb8f099
